Period,Stations,pH,T°C,EC,DO,NH4,NO3,SO4,PO4,BOD5,Season,PI
1,1,6.85,11.1,455,8.5,0.022,2.76,53,0.01,1.75,March-April,0.3228138495857143
1,2,7.08,12.3,450,7.55,0.022,1.95,71,0.011,1.8,March-April,0.3225266923014286
1,3,7.01,14.3,449,7.21,0.021,3.12,63,0.013,1.89,March-April,0.3215488183333334
1,4,7.71,16.3,523,7.25,0.065,2.45,69,0.015,2.05,March-April,0.3526440561176191
1,5,7.14,22.3,683,6.35,0.05,4.13,160,1.51,6.05,March-April,0.6927267847995239
1,6,6.74,21.3,1972,3.6,2.65,97.61,199,1.951,25.55,March-April,2.270864335155714
1,7,8.11,11.1,435,9.8,0.012,1.12,45,0.009,0.7,March-April,0.3127811416533333
1,8,7.47,13.5,413,8.55,0.011,1.35,51,0.015,1.15,March-April,0.3073386212652381
1,9,7.45,12.5,415,8.4,0.008,2.21,55,0.011,0.5,March-April,0.2878148119366667
1,10,7.18,19.0,551,7.15,0.012,2.45,53,0.016,2.01,March-April,0.3261803719185714
1,11,7.51,25.0,943,6.4,0.031,4.54,110,0.91,6.05,March-April,0.609507449412381
1,12,7.0,23.0,1350,4.65,1.55,53.13,455,2.507,15.3,March-April,1.748231343749048
1,13,7.42,24.5,1876,6.51,0.118,10.11,290,0.911,8.05,March-April,0.8266026853366667
1,14,7.37,22.7,1709,7.45,0.055,7.12,312,0.133,5.45,March-April,0.6439384254990477
1,15,7.32,15.5,1507,7.41,0.018,6.75,210,0.81,5.05,March-April,0.6390654096747619
1,16,7.11,23.3,997,6.65,0.85,48.5,295,1.705,7.3,March-April,1.163164971533333
1,17,7.21,15.5,1395,7.51,0.019,12.45,370,0.019,3.9,March-April,0.5994752224804762
1,18,7.45,14.5,1200,7.55,0.025,14.57,275,0.705,7.55,March-April,0.7512270247147619
1,19,8.21,13.5,1245,7.45,0.028,9.55,310,0.871,5.87,March-April,0.732366034042381
1,20,7.61,19.5,1695,8.85,0.09,2.76,209,0.018,0.35,March-April,0.4384973501123809
1,21,7.75,18.7,1760,8.51,0.029,9.7,55,0.715,1.9,March-April,0.5003780613742856
1,22,7.85,19.5,2239,8.41,0.011,9.85,27,0.15,3.27,March-April,0.4729076431785714
2,1,6.9,13.5,475,8.07,0.021,2.86,55,0.013,1.81,May-June,0.3242125989704762
2,2,7.1,14.1,455,7.63,0.024,1.87,69,0.013,1.91,May-June,0.3286700303833334
2,3,7.09,17.5,453,7.12,0.025,3.21,67,0.015,1.97,May-June,0.3306729163661905
2,4,7.77,18.1,545,7.5,0.068,2.76,75,0.019,2.12,May-June,0.3664396307752381
2,5,7.11,25.2,1700,6.1,0.06,4.11,170,1.59,6.9,May-June,0.7689143742252381
2,6,6.93,23.5,1970,3.15,3.26,101.21,225,2.54,33.15,May-June,2.742824888396666
2,7,7.9,12.3,440,9.11,0.011,1.19,49,0.01,1.05,May-June,0.3150086548585714
